time,workload,reward,category,action,,,,,,
522120327,[[0.00e+00 5.84e+02 1.00e-10]],0.9966666666666667,1,0,,,,,,
522122390,[[0.00e+00 9.18e+02 1.00e-10]],0.9877777777777778,1,2,,,,,,
522124477,[[0.00e+00 5.84e+02 1.00e-10]],0.9972222222222222,1,3,,,,,,
522126549,[[0.00e+00 5.84e+02 1.00e-10]],0.9605882352941176,1,0,,,,,,
522128593,[[0.00e+00 9.18e+02 1.00e-10]],0.9805555555555555,1,1,,,,,,
522130690,[[0.00e+00 9.18e+02 1.00e-10]],0.9972222222222222,1,2,,,,,,
522132753,[[0.00e+00 5.84e+02 1.00e-10]],0.9953333333333333,1,3,,,,,,
522132796, client_var_big_img.txt,,,,,,,,,
522135694,[[3.272814e+06 0.000000e+00 1.000000e+00]],0,3,0,,,,,,
522138525,[[3.27675700e+06 0.00000000e+00 3.45943162e+00]],0.30000000000000004,3,0,,,,,,
522140551,[[3.27675700e+06 0.00000000e+00 3.45943162e+00]],0.27636363636363637,3,0,,,,,,
522142578,[[3.27675700e+06 0.00000000e+00 3.45943162e+00]],0.25,3,1,,,,,,
522144675,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,2,,,,,,
522147013,[[3.272814e+06 0.000000e+00 1.000000e+00]],0,3,3,,,,,,
522150208,[[3.272814e+06 0.000000e+00 1.000000e+00]],0,3,0,,,,,,
522152796, client_var_med_img.txt,,,,,,,,,
522152865,[[2.40621236e+06 0.00000000e+00 3.45943162e+00]],0.38181818181818183,3,0,,,,,,
522154910,[[8.476e+04 0.000e+00 4.000e+00]],0.903125,0,0,,,,,,
522156956,[[8.47600000e+04 0.00000000e+00 4.08746284e+00]],0.9105882352941177,0,1,,,,,,
522159038,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7857142857142857,0,3,,,,,,
522161192,[[6.69726154e+04 0.00000000e+00 3.70043972e+00]],0.61,0,0,,,,,,
522163266,[[8.476e+04 0.000e+00 4.000e+00]],0.900625,0,1,,,,,,
522165323,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7585714285714286,0,0,,,,,,
522167355,[[8.476e+04 0.000e+00 4.000e+00]],0.900625,0,2,,,,,,
522169424,[[6.69725833e+04 0.00000000e+00 3.58496250e+00]],0.5133333333333334,0,0,,,purple- medium img 2,,,
522171466,[[8.476e+04 0.000e+00 4.000e+00]],0.8975,0,1,,,yellow- class 0,,,
522173535,[[8.47600000e+04 0.00000000e+00 2.80735492e+00]],0.7585714285714286,0,3,,,green  small text 1,,,
5 0.00000e+00 1.00000e-10]],0,0,0,,,,orange var big img 3,,,
,,,,,,,blue big img 2,,,
,,,,,,,,,,
total response time: 21255.496885029326,,,,,,,,,,
,,,,,,,,,,
   Category  BestConfigIndex  MeanReward  VarianceReward  Count  TotalCount,,,grountdtruth,,,,testing 'workloads/client_big_img.txt',,,
0         0                0    0.838336        0.019655     23          66    35%,,,0,,,,"scores (lower is better, * is best):",,,
1         1                3    0.907831        0.016885     11          49    22%,,,2,,,, - option 0: 32.6190476190476190476,,,
2         2                1    0.900517        0.037201     53          96    55%,,,1,,,, - option 1: 7.6818181818181818181 *,,,
3         3                0    0.248455        0.010310     12          36    33%,,,0,,,, - option 2: 31.052631578947368421,,,
,,,,,,, - option 3: 487.0,,,
vigilance 0.3,,,,,,,testing 'workloads/client_med_img_2.txt',,,
,,,,,,,"scores (lower is better, * is best):",,,
5 loop ,,,,,,, - option 0: 19.782608695652173913,,,
,,,,,,, - option 1: 4.04 *,,,
,,,,,,, - option 2: 18.0,,,
,,,,,,, - option 3: 297.0,,,
,,,,,,,testing 'workloads/client_small_txt_1.txt',,,
,,,,,,,"scores (lower is better, * is best):",,,
,,,,,,, - option 0: 0.5555555555555555555,,,
,,,,,,, - option 1: 0.1851851851851851851,,,
,,,,,,, - option 2: 0.074074074074074074 *,,,
,,,,,,, - option 3: 1.5185185185185185185,,,
,,,,,,,testing 'workloads/client_var_big_img.txt',,,
,,,,,,,"scores (lower is better, * is best):",,,
